127.0.0.1 - - [11/Jan/2018:10:13:46 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:47 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:47 +0800] "GET /web20/img/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:47 +0800] "GET /web20/images/register.gif HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:47 +0800] "GET /web20/image/regist_bg.jpg HTTP/1.1" 200 28345
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:50 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:51 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:13:56 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:14:04 +0800] "POST /web20/checkUsername HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:14:09 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:14:19 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:14:51 +0800] "POST /web20/checkUsername HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:14:54 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:15:05 +0800] "POST /web20/checkUsername HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:30:54 +0800] "POST /web20/checkUsername HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:30:54 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:30:56 +0800] "GET /web20/login.jsp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:30:56 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:04 +0800] "POST /web20/registerUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:04 +0800] "GET /web20/login.jsp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:06 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:10 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:12 +0800] "POST /web20/registerUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:12 +0800] "GET /web20/login.jsp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:13 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:14 +0800] "POST /web20/registerUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:14 +0800] "GET /web20/login.jsp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [11/Jan/2018:10:38:16 +0800] "GET /web20/register.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [11/Jan/2018:11:04:48 +0800] "POST /web20/checkUsername HTTP/1.1" 200 17
